Tanggal;"User ID";Role;Aksi;Deskripsi;Subjek;IP;"User Agent"
"24-12-2025 14:25";1;;RESTORED_LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (10 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"24-12-2025 14:25";1;;RESTORED_LOG_SCHEDULE_CLEANUP;"Penjadwalan otomatis membersihkan log arsip lebih lama dari 6 bulan.";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"24-12-2025 14:25";1;ADMIN;LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_144455.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"24-12-2025 14:25";1;;RESTORED_LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (10 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"24-12-2025 14:25";1;;RESTORED_LOG_SCHEDULE_CLEANUP;"Penjadwalan otomatis membersihkan log arsip lebih lama dari 6 bulan.";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:46";1;;RESTORED_LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:46";1;;RESTORED_LOG_SCHEDULE_ARCHIVE;"Penjadwalan otomatis mengarsipkan 5 log aktivitas lebih lama dari 2 bulan.";"activity_logs #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:46";1;;RESTORED_LOG_SCHEDULE_AUTO_BACKUP;"Backup otomatis log arsip dibuat (5 data).";"activity_logs_archive #-";CLI;"SYSTEM (CLI)"
"14-01-2026 14:46";1;ADMIN;LOG_ARCHIVE_RESTORE;"Data log aktivitas berhasil direstore dari file backup activity_logs_archive_20260114_141826.json.";"activity_logs #-";::1;"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/143.0.0.0 Safari/537.36"
"14-01-2026 14:47";1;;RESTORED_LOG_SCHEDULE_RUN;"Siklus penjadwalan log aktivitas dijalankan oleh sistem.";"system #-";CLI;"SYSTEM (CLI)"
